Username,Password,Privilege,First name,Last name
admin1,admin,Admin,Yuna ,Ng
admin2,admin,Admin,Chester,Ng
admin3,admin,Admin,Gerald,Lau
admin4,admin,Admin,Barry ,Teo
admin5,admin,Admin,Shaun,Tan
admin6,admin,Admin,Wei Jie,Lai
admin7,admin,Admin,Ivan,Wong
LD1@example.com,password,Public User,Liam,Davis
NR2@example.com,password,Public User,Noah,Rodriguez
OM3@example.com,password,Public User,Oliver,Martinez
EH4@example.com,password,Public User,Elijah,Hernandez
WL5@example.com,password,Public User,William,Lopez
JG6@example.com,password,Public User,James,Gonzalez
BW7@example.com,password,Public User,Benjamin,Wilson
LA8@example.com,password,Public User,Lucas,Anderson
HT9@example.com,password,Public User,Henry,Thomas
AT10@example.com,password,Public User,Alexander,Taylor
MM11@example.com,password,Public User,Mason,Moore
MJ12@example.com,password,Public User,Michael,Jackson
EM13@example.com,password,Public User,Ethan,Martin
DL14@example.com,password,Public User,Daniel,Lee
JP15@example.com,password,Public User,Jacob,Perez
LT16@example.com,password,Public User,Logan,Thompson
JW17@example.com,password,Public User,Jackson,White
LH18@example.com,password,Public User,Levi,Harris
SS19@example.com,password,Public User,Sebastian,Sanchez
MC20@example.com,password,Public User,Mateo,Clark
JR21@example.com,password,Public User,Jack,Ramirez
OL22@example.com,password,Public User,Owen,Lewis
TR23@example.com,password,Public User,Theodore,Robinson
AW24@example.com,password,Public User,Aiden,Walker
SY25@example.com,password,Public User,Samuel,Young
JA26@example.com,password,Public User,Joseph,Allen
JK27@example.com,password,Public User,John,King
DW28@example.com,password,Public User,David,Wright
WS29@example.com,password,Public User,Wyatt,Scott
MT30@example.com,password,Public User,Matthew,Torres
LN31@example.com,password,Public User,Luke,Nguyen
AH32@example.com,password,Public User,Asher,Hill
CF33@example.com,password,Public User,Carter,Flores
JG34@example.com,password,Public User,Julian,Green
GA35@example.com,password,Public User,Grayson,Adams
LN36@example.com,password,Public User,Leo,Nelson
JB37@example.com,password,Public User,Jayden,Baker
GH38@example.com,password,Public User,Gabriel,Hall
IR39@example.com,password,Public User,Isaac,Rivera
LC40@example.com,password,Public User,Lincoln,Campbell
AM41@example.com,password,Public User,Anthony,Mitchell
HC42@example.com,password,Public User,Hudson,Carter
DR43@example.com,password,Public User,Dylan,Roberts
